
User has lost focus from 03:17:54 to 08:05:34,User has lost focus
08:05:34,User has regained focus
08:06:25,User has lost focus
08:06:26,User has regained focus
15:14:17,User has lost focus
15:14:17,User has regained focus
15:16:09,User has lost focus
15:16:10,User has regained focus
15:16:25,User has lost focus
15:16:26,User has regained focus
17:31:21,User has lost focus
17:31:21,User has regained focus
17:31:32,User has lost focus
17:31:33,User has regained focus
17:31:58,User has lost focus
17:31:59,User has regained focus
17:32:19,User has lost focus
17:32:19,User has regained focus
00:22:05,User has lost focus
00:22:05,User has regained focus
00:22:13,User has lost focus
00:22:13,User has regained focus
00:22:18,User has lost focus
00:22:18,User has regained focus
00:22:23,User has lost focus
00:22:24,User has regained focus
00:22:30,User has lost focus
00:22:30,User has regained focus
00:22:39,User has lost focus
00:22:39,User has regained focus
00:22:47,User has lost focus
00:22:47,User has regained focus
00:22:52,User has lost focus
00:22:52,User has regained focus
00:22:56,User has lost focus
00:22:56,User has regained focus
00:23:03,User has lost focus
00:23:03,User has regained focus
00:23:10,User has lost focus
00:23:10,User has regained focus
00:29:40,User has lost focus
00:29:40,User has regained focus
00:29:47,User has lost focus
00:29:47,User has regained focus
00:29:55,User has lost focus
00:29:55,User has regained focus
00:33:44,User has lost focus
00:33:44,User has regained focus
00:33:53,User has lost focus
00:33:53,User has regained focus
00:33:57,User has lost focus
00:33:59,User has regained focus
00:34:06,User has lost focus
00:34:06,User has regained focus
00:34:11,User has lost focus
00:34:13,User has regained focus
00:34:19,User has lost focus
00:34:19,User has regained focus
01:05:50,User has lost focus
01:05:50,User has regained focus
01:05:59,User has lost focus
01:05:59,User has regained focus
01:40:54,User has lost focus
01:40:54,User has regained focus
01:41:00,User has lost focus
01:41:00,User has regained focus
01:42:18,User has lost focus
01:42:18,User has regained focus
01:44:44,User has lost focus
01:44:44,User has regained focus
01:45:06,User has lost focus
01:45:06,User has regained focus
01:45:22,User has lost focus
01:45:22,User has regained focus
01:45:36,User has lost focus
01:45:36,User has regained focus
01:45:51,User has lost focus
01:45:51,User has regained focus
01:47:52,User has lost focus
01:47:52,User has regained focus
01:48:08,User has lost focus
01:48:08,User has regained focus
01:48:23,User has lost focus
01:48:23,User has regained focus
10:40:24,User has lost focus
10:40:24,User has regained focus
10:45:31,User has lost focus
10:45:31,User has regained focus
10:45:37,User has lost focus
10:45:37,User has regained focus
10:54:17,User has lost focus
10:56:07,User has lost focus
10:56:59,User has lost focus
10:58:45,User has lost focus
11:00:40,User has lost focus
11:02:18,User has lost focus
11:02:43,User has lost focus
12:21:19,User has lost focus
12:27:18,User has lost focus
12:27:18,User has regained focus
12:27:46,User has lost focus
12:27:46,User has regained focus
12:27:50,User has lost focus
12:27:50,User has regained focus
12:29:51,User has lost focus
12:29:51,User has regained focus
12:35:54,User has lost focus
12:35:54,User has regained focus
12:36:01,User has lost focus
12:36:01,User has regained focus
12:40:29,User has lost focus
12:40:29,User has regained focus
12:40:34,User has lost focus
12:40:34,User has regained focus
12:40:43,User has lost focus
12:40:43,User has regained focus
12:40:49,User has lost focus
12:40:49,User has regained focus
12:43:48,User has lost focus
12:43:48,User has regained focus
12:46:03,User has lost focus
12:46:03,User has regained focus
12:46:09,User has lost focus
12:46:09,User has regained focus
12:46:18,User has lost focus
12:46:18,User has regained focus
12:46:27,User has lost focus
12:49:43,User has lost focus
12:49:43,User has regained focus
12:49:50,User has lost focus
12:49:51,User has regained focus
13:13:14,User has lost focus
13:13:14,User has regained focus
13:14:05,User has lost focus
13:14:05,User has regained focus
13:14:31,User has lost focus
13:14:31,User has regained focus
13:14:47,User has lost focus
13:14:47,User has regained focus
13:14:59,User has lost focus
13:14:59,User has regained focus
